,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env,method
17,276,12.064224023106693,True,345.5749285355665,0.0,False,False,False,0.9883353524731724,18,8000,1017,1,ppl_rss_cbf
18,402,10.43722552499079,True,435.04071275290295,8.0,False,False,False,0.9896441118349658,19,8000,1018,1,ppl_rss_cbf
19,126,9.932119154879397,False,129.7779092886804,1.0,False,False,True,0.45734253277142295,20,8000,1019,1,ppl_rss_cbf
20,224,10.60929153256302,True,246.62579058546905,0.0,False,False,False,0.9850524301956423,21,8000,1020,1,ppl_rss_cbf
21,326,11.370458971538449,True,383.9192469040685,0.0,False,False,False,0.9888765462483883,22,8000,1021,1,ppl_rss_cbf
22,522,7.734831943401099,True,418.42893945169624,0.0,False,False,False,0.9886747834602844,23,8000,1022,1,ppl_rss_cbf
23,119,10.999413851630626,False,135.3312932926214,1.0,False,False,True,0.44119004436951087,24,8000,1023,1,ppl_rss_cbf
24,470,10.591103544433343,True,517.0672557938184,6.0,False,False,False,0.9922937385842813,25,8000,1024,1,ppl_rss_cbf
25,250,9.773010223842492,True,255.5957950984337,0.0,False,False,False,0.9860082324563301,26,8000,1025,1,ppl_rss_cbf
26,495,9.584471550260702,True,491.6213882675993,10.0,False,False,False,0.9898231960324767,27,8000,1026,1,ppl_rss_cbf
27,332,9.930530269995504,True,340.5016464953968,20.0,True,True,False,0.9864433770348326,28,8000,1027,1,ppl_rss_cbf
28,187,12.15032830444129,True,234.8882670315919,3.0,False,False,False,0.9831899314274327,29,8000,1028,1,ppl_rss_cbf
29,1500,1.4678003759386804,False,230.17087162869146,0.0,False,False,False,0.8314473934610904,30,8000,1029,1,ppl_rss_cbf
30,264,11.326528308951913,True,312.3759428952052,0.0,False,False,False,0.9842143999198172,31,8000,1030,1,ppl_rss_cbf
31,500,9.006970931375555,True,467.8480575366039,0.0,False,False,False,0.9911550828425617,32,8000,1031,1,ppl_rss_cbf
32,415,6.628681404572264,True,287.15916218716075,0.0,False,False,False,0.9818942011622437,33,8000,1032,1,ppl_rss_cbf
33,458,8.014427693768717,True,381.11777537527564,2.0,False,False,False,0.9882449845397503,34,8000,1033,1,ppl_rss_cbf
34,178,10.330095897659499,False,187.4400233510382,1.0,False,False,True,0.3478860877997281,35,8000,1034,1,ppl_rss_cbf
35,426,8.579119216280759,True,379.04410894756006,0.0,False,False,False,0.9875994657763572,36,8000,1035,1,ppl_rss_cbf
36,372,7.222207409023993,True,277.6904381193077,0.0,False,False,False,0.9849094117237008,37,8000,1036,1,ppl_rss_cbf
37,296,11.44464333288448,True,353.24985311262793,4.0,False,False,False,0.9889355655395451,38,8000,1037,1,ppl_rss_cbf
38,450,9.019214533127368,True,419.7858334185139,2.0,False,False,False,0.9875390526769763,39,8000,1038,1,ppl_rss_cbf
39,382,7.98324048385591,True,315.7285163855586,0.0,False,False,False,0.9858929552029809,40,8000,1039,1,ppl_rss_cbf
40,289,11.201274102971507,True,337.2391418613607,0.0,False,False,False,0.9875658187806338,41,8000,1040,1,ppl_rss_cbf
41,258,11.270074907072935,True,303.4837074985708,0.0,False,False,False,0.985952674279143,42,8000,1041,1,ppl_rss_cbf
42,248,8.637869685265782,False,222.88879042056706,1.0,False,False,True,0.7573000786378536,43,8000,1042,1,ppl_rss_cbf
