,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
19,243,11.799837486468565,True,299.00235106100234,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9848406351192263,20,6200,1019,1
20,221,10.753560616346686,True,247.2956676777574,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9798925330260672,21,6200,1020,1
21,267,13.998253048000857,True,387.7145197676312,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9863883293753474,22,6200,1021,1
22,275,14.63457981464551,True,418.2735377281529,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9881610147323071,23,6200,1022,1
23,119,10.957441479420025,False,134.85117857719518,1.0,False,False,True,False,False,False,-1,-1,119,0,1,0.4396697023167913,24,6200,1023,1
24,327,15.10691880105772,True,513.0609153835263,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9902366642545478,25,6200,1024,1
25,205,11.937513102528936,True,255.0842243978408,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9835547611923132,26,6200,1025,1
26,161,12.47056075121862,False,206.3381523007795,1.0,False,False,True,False,False,False,-1,-1,161,0,1,0.430283729794886,27,6200,1026,1
27,260,12.814746176836158,True,345.0697761846435,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9873504177329696,28,6200,1027,1
28,183,12.029132512080665,False,229.07247023560373,1.0,True,True,False,False,False,False,183,183,-1,1,0,0.9592273498475635,29,6200,1028,1
29,205,12.665569795857255,True,270.5536919753999,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.981115217399545,30,6200,1029,1
30,266,11.26041616874507,True,312.81701117352696,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9867208320503658,31,6200,1030,1
31,214,13.088067112729949,False,288.6775268787017,1.0,True,True,False,False,False,False,214,214,-1,1,0,0.6324957272171763,32,6200,1031,1
32,140,11.391921957331615,False,164.118265794607,1.0,False,False,True,False,False,False,-1,-1,140,0,1,0.561290827850846,33,6200,1032,1
33,185,13.619319304201149,False,260.2900803083908,1.0,False,False,True,False,False,False,-1,-1,185,0,1,0.7013146016941636,34,6200,1033,1
34,181,9.917723599206633,False,182.77722042697192,1.0,False,False,True,False,False,False,-1,-1,181,0,1,0.33098598490121606,35,6200,1034,1
35,278,13.223379504139274,True,380.8561288266548,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9859819890871593,36,6200,1035,1
36,187,12.029727701255288,False,231.84161285828938,1.0,True,True,False,False,False,False,187,187,-1,1,0,0.8028383541842324,37,6200,1036,1
37,252,13.30471578375244,True,349.1732777472223,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9884678293814195,38,6200,1037,1
38,303,12.506746371154264,False,388.99928635908566,1.0,False,False,True,False,False,False,-1,-1,303,0,1,0.9107109057581351,39,6200,1038,1
39,245,12.350693821288369,True,313.45916132446575,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9849533982179425,40,6200,1039,1
40,156,10.343959592352677,False,166.30308765802775,1.0,False,False,True,False,False,False,-1,-1,156,0,1,0.48501519772832863,41,6200,1040,1
41,151,13.445910869395284,False,208.90531007993494,1.0,False,False,True,False,False,False,-1,-1,151,0,1,0.6788574859843832,42,6200,1041,1
42,214,13.10578093608038,True,293.0853116484525,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9856452272775194,43,6200,1042,1
