,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
35,397,9.252676958052923,True,381.00092332147796,0.0,False,False,False,0.9878467873331452,40,40,5,40,40,5,82,82,155,83,156,36,6200,1035,1
36,366,7.215920610595663,True,274.18436015069216,0.0,False,False,False,0.9837647364643249,58,38,21,58,38,21,37,37,128,38,129,37,6200,1036,1
37,327,10.203824612827193,True,347.5749433412196,0.0,False,False,False,0.9883723431587053,33,13,20,33,13,20,167,167,230,168,231,38,6200,1037,1
38,1166,3.521651637217914,True,421.4993688912779,230.0,False,False,False,0.9890507745076971,760,30,730,760,30,730,95,95,263,96,264,39,6200,1038,1
39,365,8.248206580927361,True,313.9929406852803,0.0,False,False,False,0.9864674059841804,59,3,59,59,3,59,101,264,101,102,102,40,6200,1039,1
40,154,10.394362304795228,False,164.47796354351996,1.0,False,False,True,0.48104263303427763,0,0,0,0,0,0,-1,-1,-1,-1,-1,41,6200,1040,1
41,365,7.87933481461323,True,298.1064167299315,0.0,False,False,False,0.9886446805398684,56,44,13,56,44,13,64,64,183,65,184,42,6200,1041,1
42,299,9.38015033872456,True,293.2492847992426,0.0,False,False,False,0.9861990646587574,40,0,40,40,0,40,149,-1,149,150,150,43,6200,1042,1
43,555,7.900655233551899,True,456.00578508022033,0.0,False,False,False,0.9909401345728374,78,23,55,78,23,55,59,59,137,60,138,44,6200,1043,1
44,313,8.78833628992895,True,286.033101679058,0.0,False,False,False,0.9814870375698417,44,0,44,44,0,44,137,-1,137,138,138,45,6200,1044,1
45,491,8.47974857946593,True,430.66980921420475,0.0,False,False,False,0.9904056483218002,73,63,10,73,63,10,50,50,259,51,260,46,6200,1045,1
46,468,9.667844808041067,False,471.1064516167927,1.0,False,False,True,0.8609119731990243,76,48,28,76,48,28,112,112,410,113,411,47,6200,1046,1
47,267,8.221995373931751,True,229.947708863558,0.0,False,False,False,0.9782418333159414,28,28,0,28,28,0,76,76,-1,77,-1,48,6200,1047,1
48,493,7.7403512822114555,True,396.51004145854546,0.0,False,False,False,0.9894527945055274,68,27,41,68,27,41,97,97,184,98,185,49,6200,1048,1
49,358,9.237857944750276,True,343.27703332743806,0.0,False,False,False,0.9874035815524184,67,12,55,67,12,55,64,64,145,65,146,50,6200,1049,1
0,368,8.217183792643185,True,315.3078767827055,0.0,False,False,False,0.9872843734838193,56,26,32,56,26,32,70,70,123,71,124,1,6400,1000,1
1,313,9.272356687201048,True,303.6445276523249,0.0,False,False,False,0.9848508004075063,11,11,4,11,11,4,143,143,147,144,148,2,6400,1001,1
2,437,8.630322478044281,True,391.7670180246882,0.0,False,False,False,0.9887130412143141,74,10,65,74,10,65,93,118,93,94,94,3,6400,1002,1
3,491,8.379388175971254,True,427.215898924593,0.0,False,False,False,0.9906467318807053,73,40,33,73,40,33,56,56,159,57,160,4,6400,1003,1
4,452,10.44981381939705,True,490.2870838540635,0.0,False,False,False,0.9920728324870018,52,52,0,52,52,0,110,110,-1,111,-1,5,6400,1004,1
5,420,8.478910495123527,True,367.9344506362724,0.0,False,False,False,0.9861745278636452,40,30,14,40,30,14,89,89,277,90,278,6,6400,1005,1
6,473,8.730471090347175,True,427.6663732425049,0.0,False,False,False,0.9888624364401404,75,17,58,75,17,58,54,54,238,55,239,7,6400,1006,1
7,546,6.741091444286749,False,373.3717387530584,92.0,False,False,True,0.8712283911969441,158,3,155,158,3,155,103,103,254,104,255,8,6400,1007,1
8,426,8.806448794115589,True,371.6272838808584,1.0,False,False,False,0.9877562496873868,41,34,7,41,34,7,101,101,281,102,282,9,6400,1008,1
9,345,9.941116415318886,True,355.92250569547696,0.0,False,False,False,0.9866771790774678,25,25,0,25,25,0,180,180,-1,181,-1,10,6400,1009,1
10,379,8.219298683897152,True,323.31538460036427,0.0,False,False,False,0.9846833903556828,44,30,14,44,30,14,75,122,75,76,76,11,6400,1010,1
11,422,7.88592398533876,True,342.6176802173309,0.0,False,False,False,0.9889056238661839,44,38,10,44,38,10,41,41,272,42,273,12,6400,1011,1
12,456,7.930010827975304,True,374.2281082233323,0.0,False,False,False,0.9906809029498336,82,50,34,82,50,34,47,47,105,48,106,13,6400,1012,1
13,443,7.416290815361329,True,340.5609516534819,0.0,False,False,False,0.9860664541195098,56,56,0,56,56,0,69,69,-1,70,-1,14,6400,1013,1
14,218,11.556306897046644,True,262.1730919739936,0.0,False,False,False,0.9790412141820267,3,3,0,3,3,0,154,154,-1,155,-1,15,6400,1014,1
15,222,7.314081033130124,False,168.18404266741194,1.0,False,False,True,0.30130519354405066,22,8,17,22,8,17,74,74,77,75,78,16,6400,1015,1
16,279,10.718581115187185,True,311.3374981507229,0.0,False,False,False,0.9848531698527283,18,2,16,18,2,16,148,171,148,149,149,17,6400,1016,1
17,386,8.633946912748275,True,346.3238111202584,0.0,False,False,False,0.9856242762010757,55,30,25,55,30,25,38,38,299,39,300,18,6400,1017,1
18,343,12.136188492893096,True,434.05858139446417,0.0,False,False,False,0.9896413468545368,28,26,2,28,26,2,104,104,171,105,172,19,6400,1018,1
19,273,10.387966450815568,True,295.7308211415558,0.0,False,False,False,0.9873082725484432,22,22,0,22,22,0,124,124,-1,125,-1,20,6400,1019,1
20,297,7.841656939076311,True,241.966301574637,0.0,False,False,False,0.9829467982510368,40,6,34,40,6,34,70,70,127,71,128,21,6400,1020,1
21,409,9.136857882867046,True,386.8664571720719,0.0,False,False,False,0.9897386564204258,51,51,0,51,51,0,99,99,-1,100,-1,22,6400,1021,1
22,405,9.863515839661195,True,415.8053368180626,0.0,False,False,False,0.9890632473799786,67,15,52,67,15,52,160,230,160,161,161,23,6400,1022,1
23,122,10.969711614657356,False,138.55051481120154,1.0,False,False,True,0.4513073983075336,0,0,0,0,0,0,-1,-1,-1,-1,-1,24,6400,1023,1
24,542,9.107145082947516,True,511.4870832203862,0.0,False,False,False,0.9912525967570944,93,0,93,93,0,93,127,-1,127,128,128,25,6400,1024,1
25,234,10.450616544125817,True,255.53684430376262,0.0,False,False,False,0.9852615116106191,14,14,0,14,14,0,141,141,-1,142,-1,26,6400,1025,1
26,619,7.55272961339416,True,482.44005346963644,0.0,False,False,False,0.9902690562385745,89,81,8,89,81,8,37,37,234,38,235,27,6400,1026,1
27,401,8.204323067129069,True,341.25913412490524,0.0,False,False,False,0.9877353691330407,77,0,77,77,0,77,87,-1,87,88,88,28,6400,1027,1
28,214,10.500280774898991,True,233.97092826240063,0.0,False,False,False,0.9795055298780021,17,17,0,17,17,0,78,78,-1,79,-1,29,6400,1028,1
29,251,10.378925603337619,True,271.60786572243273,0.0,False,False,False,0.9823488131303183,19,0,19,19,0,19,170,-1,170,171,171,30,6400,1029,1
30,279,10.669860770456522,True,311.80598004491753,0.0,False,False,False,0.9839497905670558,8,0,8,8,0,8,233,-1,233,234,234,31,6400,1030,1
31,518,8.660172618427538,True,464.0318639687049,0.0,False,False,False,0.989469592726824,93,15,79,93,15,79,94,94,99,95,100,32,6400,1031,1
32,342,8.011776335031678,True,286.3816715375262,0.0,False,False,False,0.9818397456081501,71,0,71,71,0,71,103,-1,103,104,104,33,6400,1032,1
33,345,10.506727230438601,True,375.5679251841218,0.0,False,False,False,0.9882956231332837,39,39,0,39,39,0,101,101,-1,102,-1,34,6400,1033,1
34,749,6.908788071316614,True,535.4089743079796,0.0,False,False,False,0.9905566652887915,179,19,160,179,19,160,69,176,69,70,70,35,6400,1034,1
35,397,9.233984963473118,True,381.0018019772535,0.0,False,False,False,0.9864961521356359,42,42,0,42,42,0,82,82,-1,83,-1,36,6400,1035,1
36,363,7.256849635823644,True,273.6209370737643,0.0,False,False,False,0.9810671357187686,52,36,16,52,36,16,37,37,134,38,135,37,6400,1036,1
37,326,10.215646511604021,True,346.7105809771014,0.0,False,False,False,0.9880100775039421,34,13,22,34,13,22,162,162,230,163,231,38,6400,1037,1
38,499,8.117579857418404,True,418.39436148053824,1.0,False,False,False,0.9896473040430035,88,41,47,88,41,47,98,98,265,99,266,39,6400,1038,1
39,363,8.304273727390973,True,315.60483251134417,0.0,False,False,False,0.9860820324016387,56,3,56,56,3,56,101,265,101,102,102,40,6400,1039,1
40,154,10.472714760101113,False,166.8088621787715,1.0,False,False,True,0.48534744047297695,0,0,0,0,0,0,-1,-1,-1,-1,-1,41,6400,1040,1
41,364,7.908028190430391,True,297.49471553384734,0.0,False,False,False,0.9894569979976106,53,46,8,53,46,8,60,60,185,61,186,42,6400,1041,1
42,298,9.408614637592521,True,293.2954759348228,0.0,False,False,False,0.9862070616188098,38,0,38,38,0,38,149,-1,149,150,150,43,6400,1042,1
43,554,7.942327329115111,True,455.4455559592791,0.0,False,False,False,0.9906495970100733,78,20,58,78,20,58,59,59,137,60,138,44,6400,1043,1
44,298,9.276945802953716,True,287.34057852165284,0.0,False,False,False,0.9816044489255549,43,0,43,43,0,43,143,-1,143,144,144,45,6400,1044,1
45,491,8.468502035267255,True,430.8408160722502,0.0,False,False,False,0.9902194830210016,71,60,11,71,60,11,50,50,258,51,259,46,6400,1045,1
46,457,9.734768185325729,False,463.1910215870145,1.0,False,False,True,0.8490635483860743,72,49,23,72,49,23,114,114,417,115,418,47,6400,1046,1
47,268,8.191555064279392,True,229.73810940322863,0.0,False,False,False,0.9773630073085929,29,29,0,29,29,0,76,76,-1,77,-1,48,6400,1047,1
48,488,7.862077858592029,True,398.2771442432326,0.0,False,False,False,0.9894995554683482,65,21,44,65,21,44,97,97,171,98,172,49,6400,1048,1
49,358,9.245669297512197,True,343.6697127334335,0.0,False,False,False,0.9884741320291179,70,11,59,70,11,59,64,64,147,65,148,50,6400,1049,1
0,361,8.341978350651654,True,312.31216306194483,0.0,False,False,False,0.988126034531755,50,32,20,50,32,20,71,71,112,72,113,1,6600,1000,1
1,314,9.250044705318123,True,303.41732456159116,0.0,False,False,False,0.9835806635905671,11,11,4,11,11,4,143,143,147,144,148,2,6600,1001,1
2,453,8.319696762102337,True,392.26628941347366,0.0,False,False,False,0.987622204868796,85,4,81,85,4,81,92,153,92,93,93,3,6600,1002,1
3,491,8.360579831088849,True,425.70386858239533,0.0,False,False,False,0.9890970502930659,76,40,36,76,40,36,57,57,152,58,153,4,6600,1003,1
4,454,10.408579050526551,True,490.53679407633206,0.0,False,False,False,0.9920855883356431,52,52,0,52,52,0,112,112,-1,113,-1,5,6600,1004,1
5,402,8.870041427590548,True,370.25321347889775,0.0,False,False,False,0.9857394076285836,31,30,7,31,30,7,89,89,226,90,227,6,6600,1005,1
6,490,8.4000507841675,True,427.9346188507067,0.0,False,False,False,0.989979924389057,78,17,61,78,17,61,54,54,215,55,216,7,6600,1006,1
7,417,9.77660982236517,True,423.7796943302274,0.0,False,False,False,0.9893640530038309,38,9,29,38,9,29,96,96,250,97,251,8,6600,1007,1
8,391,9.324108925950075,True,371.71860433863463,5.0,False,False,False,0.9885933210843895,50,34,16,50,34,16,102,102,283,103,284,9,6600,1008,1
9,346,9.940927661060426,True,356.63626688502256,0.0,False,False,False,0.9867079114957806,24,24,0,24,24,0,184,184,-1,185,-1,10,6600,1009,1
10,384,8.12756404953258,True,322.86472904917474,0.0,False,False,False,0.9857918047951374,45,37,10,45,37,10,69,69,208,70,209,11,6600,1010,1
11,426,7.783714063561839,True,345.442240336831,0.0,False,False,False,0.9883655774165979,51,42,9,51,42,9,41,41,299,42,300,12,6600,1011,1
12,114,10.26368323942708,False,120.49728861849805,1.0,True,False,True,0.32964257806555936,23,14,12,22,14,11,47,47,101,48,102,13,6600,1012,1
13,443,7.38518009276898,True,341.0179757549863,0.0,False,False,False,0.9870497613191391,57,54,5,57,54,5,69,69,368,70,369,14,6600,1013,1
14,218,11.556523095138717,True,262.11796580918366,0.0,False,False,False,0.9789423955008899,3,3,0,3,3,0,154,154,-1,155,-1,15,6600,1014,1
